ID,treatment,upper_chamber,lower_chamber,time,membrane,replicate,image1,image2,image3,image4,mean
1,ctrl,-,+,48h,all,1,533,638,466,,545.6666667
2,ctrl,-,+,48h,bottom,1,371,434,298,,367.6666667
3,ctrl,-,+,48h,all,2,642,567,616,681,626.5
4,ctrl,-,+,48h,bottom,2,405,362,164,483,353.5
5,ctrl,+,+,48h,all,1,854,533,544,552,620.75
6,ctrl,+,+,48h,bottom,1,256,410,311,257,308.5
7,ctrl,+,+,48h,all,2,584,608,717,,636.3333333
8,ctrl,+,+,48h,bottom,2,392,417,406,,405
9,TGFb,-,+,48h,all,1,585,667,526,590,592
10,TGFb,-,+,48h,bottom,1,471,436,438,407,438
11,TGFb,-,+,48h,all,2,673,596,650,,639.6666667
12,TGFb,-,+,48h,bottom,2,457,450,448,,451.6666667
13,ctrl,-,+,48h,all,1,1145,1049,1040,1047,1070.25
14,ctrl,-,+,48h,bottom,1,732,674,660,747,703.25
15,ctrl,-,+,48h,all,2,1087,791,1065,,981
16,ctrl,-,+,48h,bottom,2,667,561,520,,582.6666667
17,ctrl,+,+,48h,all,1,1115,755,971,1050,972.75
18,ctrl,+,+,48h,bottom,1,564,480,618,503,541.25
19,ctrl,+,+,48h,all,2,1019,890,735,747,847.75
20,ctrl,+,+,48h,bottom,2,355,356,572,377,415
21,TGFb,-,+,48h,all,1,849,782,803,1029,865.75
22,TGFb,-,+,48h,bottom,1,679,620,601,505,601.25
23,TGFb,-,+,48h,all,2,596,692,672,,653.3333333
24,TGFb,-,+,48h,bottom,2,504,558,476,,512.6666667
