ID,treatment,upper_chamber,lower_chamber,time,membrane,replicate,image1,image2,image3,image4,mean
1,ctrl,-,+,48h,all,1,886,970,938,,931.33
2,ctrl,-,+,48h,bottom,1,511,498,360,,456.33
3,ctrl,-,+,48h,all,2,881,788,862,740,817.75
4,ctrl,-,+,48h,bottom,2,413,422,388,479,425.5
5,ctrl,+,+,48h,all,1,895,986,,,940.5
6,ctrl,+,+,48h,bottom,1,359,513,,,436
7,ctrl,+,+,48h,all,2,932,1043,957,965,974.25
8,ctrl,+,+,48h,bottom,2,466,436,415,269,396.5
9,TGFb,-,+,48h,all,1,799,779,733,,770.33
10,TGFb,-,+,48h,bottom,1,635,455,553,,547.67
11,TGFb,-,+,48h,all,2,728,796,833,,785.67
12,TGFb,-,+,48h,bottom,2,562,421,448,,477
13,ctrl,-,+,48h,all,1,812,860,738,906,829.00
14,ctrl,-,+,48h,bottom,1,338,395,537,488,439.50
15,ctrl,-,+,48h,all,2,832,905,903,761,850.25
16,ctrl,-,+,48h,bottom,2,553,513,537,474,519.25
17,ctrl,+,+,48h,all,1,831,1012,741,,861.33
18,ctrl,+,+,48h,bottom,1,553,557,437,,515.67
19,ctrl,+,+,48h,all,2,825,722,969,616,783.00
20,ctrl,+,+,48h,bottom,2,228,352,264,276,280.00
21,TGFb,-,+,48h,all,1,671,575,801,460,626.75
22,TGFb,-,+,48h,bottom,1,330,501,710,499,510.00
23,TGFb,-,+,48h,all,2,609,793,802,752,739.00
24,TGFb,-,+,48h,bottom,2,624,524,575,609,583.00
