Label,Area_pixels,Width_pixels,Standard_deviation_pixels,Wound_closure
SCC12_ctrl_t0_1_050922,3605314,1772.121,150.869,0
SCC12_ctrl_t0_2_050922,2156206,1064.193,119.418,0
SCC12_ctrl_t0_3_050922,2538610,1251.485,99.651,0
SCC12_TGFb_10ng_t0_1_050922,2367430,1163.897,72.085,0
SCC12_TGFb_10ng_t0_2_050922,1807811,883.639,53.098,0
SCC12_TGFb_10ng_t0_3_050922,2170396,1141.058,224.222,0
SCC12_ctrl_t2_1_050922,3297580,1696.482,126.23,0.085355672
SCC12_ctrl_t2_2_050922,1982314,988.522,95.515,0.080647211
SCC12_ctrl_t2_3_050922,2132492,1069.576,89.698,0.159976523
SCC12_TGFb_10ng_t2_1_050922,1844894,944.134,175.244,0.22071867
SCC12_TGFb_10ng_t2_2_050922,1640413,802.064,37.234,0.092597069
SCC12_TGFb_10ng_t2_3_050922,1721492,948.757,214.802,0.206830459
SCC12_ctrl_t4_1_050922,3156045,1592.168,159.806,0.124613002
SCC12_ctrl_t4_2_050922,1505078,763.579,115.747,0.301978568
SCC12_ctrl_t4_3_050922,1553529,857.886,139.989,0.388039518
SCC12_TGFb_10ng_t4_1_050922,1553692,803.595,186.989,0.343722095
SCC12_TGFb_10ng_t4_2_050922,1400147,700.284,71.718,0.225501449
SCC12_TGFb_10ng_t4_3_050922,1672083,944.447,128.389,0.229595429
SCC12_ctrl_t6_1_050922,2650526,1405.412,184.09,0.264827973
SCC12_ctrl_t6_2_050922,1443256,759.846,151.437,0.330650225
SCC12_ctrl_t6_3_050922,1215047,737.731,152.775,0.521373114
SCC12_TGFb_10ng_t6_1_050922,1371361,704.789,147.255,0.420738522
SCC12_TGFb_10ng_t6_2_050922,1142009,573.836,57.63,0.368291818
SCC12_TGFb_10ng_t6_3_050922,1244311,721.565,187.679,0.426689415
SCC12_ctrl_t8_1_050922,2449884,1238.28,259.249,0.320479714
SCC12_ctrl_t8_2_050922,1236157,653.353,147.146,0.426698098
SCC12_ctrl_t8_3_050922,792531,524.91,210.653,0.687809077
SCC12_TGFb_10ng_t8_1_050922,730960,485.427,255.349,0.691243247
SCC12_TGFb_10ng_t8_2_050922,613426,348.858,88.712,0.660680237
SCC12_TGFb_10ng_t8_3_050922,627600,546.726,152.883,0.710836179
SCC12_ctrl_t10_1_050922,2079179,1087.806,276.4,0.423301549
SCC12_ctrl_t10_2_050922,816676,479.23,203.082,0.621243981
SCC12_ctrl_t10_3_050922,590568,467.808,250.303,0.767365606
SCC12_TGFb_10ng_t10_1_050922,504137,414.22,234.433,0.787053049
SCC12_TGFb_10ng_t10_2_050922,231692,304.984,84.234,0.871838372
SCC12_TGFb_10ng_t10_3_050922,7460,0,0,1
SCC12_ctrl_t12_1_050922,1663389,974.45,293.785,0.538628536
SCC12_ctrl_t12_2_050922,494572,310.13,165.614,0.770628595
SCC12_ctrl_t12_3_050922,418539,426.082,264.983,0.835130642
SCC12_TGFb_10ng_t12_1_050922,229397,274.887,119.7,0.868777535
SCC12_TGFb_10ng_t12_2_050922,82551,232.756,106.46,0.941339554
SCC12_TGFb_10ng_t12_3_050922,0,0,0,1
SCC12_ctrl_t24_1_050922,376336,350.266,157.961,0.895616304
SCC12_ctrl_t24_2_050922,52240,150.708,116.755,0.975772259
SCC12_ctrl_t24_3_050922,0,0,0,1
