sample_name,gene_name,gene_type,ct_val
SCC-12_t4_ctrl1,TGFB,target,22.49
SCC-12_t4_ctrl1,TGFBRI,target,27.05
SCC-12_t4_ctrl1,TGFBRII,target,21.27
SCC-12_t4_ctrl1,SMAD2,target,21.14
SCC-12_t4_ctrl1,SMAD3,target,24.82
SCC-12_t4_ctrl1,ACTB,HK,16.9
SCC-12_t4_ctrl1,HPRT1,HK,
SCC-12_t4_ctrl1,TBP,HK,21.81
SCC-12_t4_ctrl2,TGFB,target,22.21
SCC-12_t4_ctrl2,TGFBRI,target,26.46
SCC-12_t4_ctrl2,TGFBRII,target,20.24
SCC-12_t4_ctrl2,SMAD2,target,21.74
SCC-12_t4_ctrl2,SMAD3,target,24.74
SCC-12_t4_ctrl2,ACTB,HK,17.92
SCC-12_t4_ctrl2,HPRT1,HK,20.61
SCC-12_t4_ctrl2,TBP,HK,22.91
SCC-12_t4_irr1,TGFB,target,24.28
SCC-12_t4_irr1,TGFBRI,target,29.06
SCC-12_t4_irr1,TGFBRII,target,24.74
SCC-12_t4_irr1,SMAD2,target,23.39
SCC-12_t4_irr1,SMAD3,target,28.27
SCC-12_t4_irr1,ACTB,HK,21.08
SCC-12_t4_irr1,HPRT1,HK,22.1
SCC-12_t4_irr1,TBP,HK,24.29
SCC-12_t4_irr2,TGFB,target,23.65
SCC-12_t4_irr2,TGFBRI,target,28.41
SCC-12_t4_irr2,TGFBRII,target,24.02
SCC-12_t4_irr2,SMAD2,target,24.69
SCC-12_t4_irr2,SMAD3,target,28.25
SCC-12_t4_irr2,ACTB,HK,20.52
SCC-12_t4_irr2,HPRT1,HK,21.71
SCC-12_t4_irr2,TBP,HK,24.59
FVH2819_t4_ctrl1,TGFB,target,20.19
FVH2819_t4_ctrl1,TGFBRI,target,
FVH2819_t4_ctrl1,TGFBRII,target,22.45
FVH2819_t4_ctrl1,SMAD2,target,24.16
FVH2819_t4_ctrl1,SMAD3,target,23.36
FVH2819_t4_ctrl1,ACTB,HK,19.56
FVH2819_t4_ctrl1,HPRT1,HK,22.45
FVH2819_t4_ctrl1,TBP,HK,24.42
FVH2819_t4_ctrl2,TGFB,target,20.02
FVH2819_t4_ctrl2,TGFBRI,target,
FVH2819_t4_ctrl2,TGFBRII,target,22.21
FVH2819_t4_ctrl2,SMAD2,target,25.2
FVH2819_t4_ctrl2,SMAD3,target,22.4
FVH2819_t4_ctrl2,ACTB,HK,17.84
FVH2819_t4_ctrl2,HPRT1,HK,22.32
FVH2819_t4_ctrl2,TBP,HK,23.9
FVH2819_t4_irr1,TGFB,target,21.25
FVH2819_t4_irr1,TGFBRI,target,
FVH2819_t4_irr1,TGFBRII,target,23.69
FVH2819_t4_irr1,SMAD2,target,24.46
FVH2819_t4_irr1,SMAD3,target,25.18
FVH2819_t4_irr1,ACTB,HK,17.36
FVH2819_t4_irr1,HPRT1,HK,21.77
FVH2819_t4_irr1,TBP,HK,24.35
FVH2819_t4_irr2,TGFB,target,22.14
FVH2819_t4_irr2,TGFBRI,target,
FVH2819_t4_irr2,TGFBRII,target,23.49
